Index,Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,RL_Total,T_EX,T_EW,T_CR,T_EN,T_VU,T_NT,T_DD,T_LC,T_SP,M_ED,M_TH_ED,M_EX,M_EW,M_CR,M_EN,M_VU,M_NT,M_LC,M_DD,M_SP,A_ED,A_TH_ED,A_EX,A_EW,A_CR,A_EN,A_VU,A_NT,A_LC,A_DD,A_SP
29,Sint Maarten (Dutch part),Caribbean Islands,SXM,2,0,6,0,29,0,10,47,0,0,5,10,32,15,62,879,1003,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
30,Trinidad and Tobago,Caribbean Islands,TTO,2,5,6,8,35,0,10,66,0,0,8,12,46,36,91,1674,1867,1,0,0,0,0,0,2,1,96,15,114,7,7,0,0,2,2,5,0,24,0,33
31,Turks and CaicosIslands,Caribbean Islands,TCA,2,2,4,0,29,0,10,47,0,0,6,10,31,24,66,1056,1193,0,0,0,0,0,1,1,0,5,2,9,0,0,0,0,0,0,0,0,0,0,?
32,"Virgin Islands, British",Caribbean Islands,VGB,1,1,9,2,28,0,10,51,0,0,10,9,32,23,74,1111,1259,0,0,0,0,0,0,1,0,16,8,25,0,0,0,0,1,1,0,0,3,0,5
33,"Virgin Islands, U.S.",Caribbean Islands,VIR,1,1,11,2,27,0,0,42,2,0,9,8,25,22,71,1077,1214,0,0,1,0,0,0,2,0,15,9,27,1,1,0,0,0,2,0,0,3,0,5
34,N/A,Mesoamerica,N/A,166,157,218,486,465,12,219,1723,34,6,357,541,825,763,1796,20738,25060,185,86,8,0,33,69,59,87,1532,155,1943,416,286,5,0,201,186,97,65,503,98,1155
35,Belize,Mesoamerica,BLZ,9,5,8,5,43,0,12,82,1,0,8,19,55,60,97,1792,2032,0,0,0,0,0,3,4,5,124,14,150,1,0,0,0,1,3,2,6,25,1,38
36,Costa Rica,Mesoamerica,CRI,10,23,12,61,60,1,30,197,3,0,30,55,112,104,237,2879,3420,5,0,0,0,0,3,5,10,189,20,227,47,27,3,0,22,23,14,10,97,17,186
37,El Salvador,Mesoamerica,SLV,6,6,10,10,15,0,10,57,0,0,4,18,35,49,97,1420,1623,0,0,0,0,0,3,2,7,136,14,162,0,0,0,0,3,5,2,1,21,0,32
38,Guatemala,Mesoamerica,GTM,15,14,32,80,35,2,11,189,1,0,38,64,87,87,157,2369,2803,3,1,0,0,1,6,9,12,176,16,220,40,31,0,0,32,28,20,11,38,11,140
39,Honduras,Mesoamerica,HND,7,11,40,56,42,0,21,177,3,0,44,56,77,85,169,2594,3028,3,1,2,0,0,3,3,10,176,18,212,45,39,2,0,31,24,4,7,54,3,125
40,Mexico,Mesoamerica,MEX,96,61,97,215,179,7,95,750,25,6,192,258,300,193,541,4151,5666,158,80,6,0,29,43,28,23,366,28,523,246,171,0,0,88,79,44,21,94,38,364
41,Nicaragua,Mesoamerica,NIC,7,15,9,10,37,2,18,98,1,0,9,23,66,78,186,2532,2895,2,0,0,0,0,3,2,9,171,18,203,4,3,0,0,2,3,5,0,61,2,73
42,Panama,Mesoamerica,PAN,16,22,10,49,54,0,22,173,0,0,32,48,93,107,312,3001,3593,14,4,0,0,3,5,6,11,194,27,246,33,15,0,0,22,21,6,9,113,26,197
43,N/A,South America,N/A,397,773,186,716,541,83,162,2858,27,8,427,788,1643,1500,3541,30648,38582,471,129,12,0,32,122,226,194,2974,558,4118,1656,596,4,0,169,277,327,137,2035,695,3644
44,Argentina,South America,ARG,37,50,15,30,39,0,14,185,3,3,21,51,113,122,188,1879,2380,84,13,1,0,6,13,16,31,225,82,374,49,24,0,0,2,15,12,9,105,14,157
45,"Bolivia, Plurinational States of",South America,BOL,21,55,6,35,8,2,1,128,0,0,21,27,80,97,130,2096,2451,23,4,0,0,1,8,10,18,301,25,363,72,33,0,0,6,5,28,6,165,20,230
46,Brazil,South America,BRA,81,165,29,36,86,22,33,452,9,1,75,121,256,226,672,3909,5269,186,55,3,0,10,31,41,23,436,104,648,534,112,1,0,23,38,55,23,461,197,798
47,Chile,South America,CHL,19,33,7,27,25,1,12,124,1,0,18,30,76,75,231,1042,1473,19,5,0,0,4,8,9,10,81,31,143,41,17,0,0,9,4,8,4,13,20,58
48,Colombia,South America,COL,54,119,32,215,96,4,48,568,1,0,95,175,298,229,646,4527,5971,39,9,1,0,5,14,33,15,316,58,442,349,162,0,0,52,80,82,46,330,124,714
49,Ecuador,South America,ECU,45,98,38,175,59,49,21,485,8,1,88,139,258,188,383,3012,4077,34,14,3,0,1,10,32,20,263,43,372,171,106,2,0,36,72,63,22,203,69,467
50,Falkland Islands (Malvinas),South America,FLK,4,9,0,0,5,0,0,18,1,0,0,7,11,13,26,194,252,1,0,1,0,0,3,1,0,9,13,27,0,0,0,0,0,0,0,0,0,0,?
51,French Guiana,South America,GUF,8,8,7,3,29,0,0,55,0,0,4,7,44,49,109,1805,2018,1,0,0,0,0,1,5,6,171,24,207,8,2,0,0,0,0,3,0,97,4,104
52,Guyana,South America,GUY,11,14,5,5,31,0,1,67,0,0,6,11,50,58,124,1986,2235,0,0,0,0,0,1,7,6,194,27,235,27,4,0,0,0,0,7,0,101,17,125
53,Paraguay,South America,PRY,10,27,3,0,0,0,0,40,0,3,4,9,27,53,33,973,1102,2,1,0,0,0,4,4,15,130,12,165,2,0,0,0,0,0,0,3,68,3,74
54,Peru,South America,PER,53,120,15,111,50,4,4,357,1,0,52,106,199,184,493,3313,4348,56,19,2,0,3,14,36,22,332,58,467,224,69,0,0,22,36,38,11,221,133,461
55,Suriname,South America,SUR,9,9,6,1,30,0,1,56,0,0,4,9,43,52,103,1856,2067,0,0,0,0,0,1,6,6,176,21,210,5,0,0,0,0,0,1,0,94,6,101
56,Uruguay,South America,URY,10,22,5,5,40,0,2,84,2,0,8,21,55,43,75,824,1028,1,1,0,0,0,6,4,11,64,17,102,2,1,0,0,0,2,2,3,37,0,44
57,"Venezuela, Bolivarian Republic of",South America,VEN,35,44,18,73,43,1,25,239,1,0,31,75,133,111,328,3232,3911,25,8,1,0,2,8,22,11,276,43,363,172,66,1,0,19,25,28,10,140,88,311
58,N/A,Europe,N/A,207,380,72,32,960,879,789,3319,43,0,430,797,2092,2384,2976,29920,38642,13,8,3,0,20,73,95,240,2480,138,3049,23,11,0,0,1,10,21,34,534,0,600
59,Albania,Europe,ALB,3,10,4,2,44,49,13,125,1,0,13,43,69,66,69,899,1160,0,0,0,0,1,0,2,5,64,2,74,0,0,0,0,0,1,1,0,13,0,15
60,Andorra,Europe,AND,2,2,1,0,0,3,4,12,0,0,0,2,10,18,7,271,308,0,0,0,0,0,0,2,5,41,0,48,0,0,0,0,0,0,0,1,3,0,4
61,Austria,Europe,AUT,3,12,1,0,11,43,26,96,3,0,23,26,47,77,61,716,953,0,0,0,0,1,1,2,6,80,0,90,0,0,0,0,0,0,0,1,19,0,20
62,Belgium,Europe,BEL,2,8,0,0,13,6,8,37,1,0,4,5,28,49,38,627,752,0,0,0,0,0,2,1,5,60,2,70,0,0,0,0,0,0,0,0,16,0,16
63,Bosnia and Herzegovina,Europe,BIH,4,8,3,1,35,17,19,87,0,0,6,26,55,55,74,764,980,0,0,0,0,1,0,3,7,67,1,79,0,0,0,0,0,0,1,1,16,0,18
64,Bulgaria,Europe,BGR,8,18,2,0,22,25,13,88,0,0,12,14,62,73,63,811,1035,0,0,0,0,1,1,5,8,77,2,94,0,0,0,0,0,0,0,1,16,0,17
65,Croatia,Europe,HRV,9,15,4,2,64,45,23,162,1,0,27,39,96,72,109,1017,1361,0,0,0,0,1,1,5,8,79,1,95,0,0,0,0,0,0,2,1,17,0,20
66,Czech Republic,Europe,CZE,3,10,0,0,2,6,18,39,0,0,3,7,29,53,38,600,730,0,0,0,0,0,1,1,7,68,1,78,0,0,0,0,0,0,0,1,20,0,21
67,Denmark,Europe,DNK,2,7,0,0,18,5,10,42,0,0,5,8,29,44,33,619,738,0,0,0,0,0,1,1,4,54,5,65,0,0,0,0,0,0,0,0,14,0,14
